
[Wed Jan 04 18:46:28.763 2017] Begin Peak Summation Update test @ 8000 KHz
[Wed Jan 04 18:46:30.935 2017] ,START,EOL
[Wed Jan 04 18:46:30.951 2017] ,COMMENT,Peak Summation
[Wed Jan 04 18:46:30.967 2017] ,COMMENT,TX BIAS DELAY HAS BEEN REMOVED
[Wed Jan 04 18:46:31.014 2017] ,INFO,BOARD_ID,NA,SOIL_TYPE,NA,START_FREQ,8000,STOP_FREQ,12000,FREQ_INC,100,DELAY_TIME,100,NUM_SEQ_MEASURES,10,FIRMWARE_VERSION,0.1.8,TX_COIL,1,RX_COIL,1
[Wed Jan 04 18:46:31.170 2017] ,ACTION,SOIL TYPE,WATER CONTENT (%),tx_freq_actual (KHz),ADC Value (mV),TEMPERATURE (degC)
[Wed Jan 04 18:46:59.202 2017] ,PEAK_SUMMATION_INC,NA,NA,freq = 8500.00,running_sum = 12 (12bit),running_sum = 12 (mV), temp = 23
[Wed Jan 04 18:46:59.624 2017] ,DISCHARGE,NA,NA,8500.00,2,23
[Wed Jan 04 18:47:02.515 2017] ,CHARGING,NA,NA,8600.00,2,23
[Wed Jan 04 18:47:02.656 2017] ,CHARGING,NA,NA,8600.00,2,23
[Wed Jan 04 18:47:02.890 2017] ,MEASURE,NA,NA,8600.00,2,23
[Wed Jan 04 18:47:03.125 2017] ,MEASURE,NA,NA,8600.00,2,23
[Wed Jan 04 18:47:03.359 2017] ,MEASURE,NA,NA,8600.00,2,23
[Wed Jan 04 18:47:03.609 2017] ,MEASURE,NA,NA,8600.00,2,23
[Wed Jan 04 18:47:03.828 2017] ,MEASURE,NA,NA,8600.00,2,23
[Wed Jan 04 18:47:03.859 2017] ,RECORD,NA,NA,8600.00,2,23
[Wed Jan 04 18:47:03.890 2017] ,PEAK_SUMMATION_INC,NA,NA,freq = 8600.00,running_sum = 14 (12bit),running_sum = 14 (mV), temp = 23
[Wed Jan 04 18:47:04.312 2017] ,DISCHARGE,NA,NA,8600.00,2,23
[Wed Jan 04 18:47:07.203 2017] ,CHARGING,NA,NA,8700.00,2,23
[Wed Jan 04 18:47:07.343 2017] ,CHARGING,NA,NA,8700.00,2,23
[Wed Jan 04 18:47:07.562 2017] ,MEASURE,NA,NA,8700.00,2,23
[Wed Jan 04 18:47:07.812 2017] ,MEASURE,NA,NA,8700.00,2,23
[Wed Jan 04 18:47:08.047 2017] ,MEASURE,NA,NA,8700.00,2,23
[Wed Jan 04 18:47:08.281 2017] ,MEASURE,NA,NA,8700.00,2,23
[Wed Jan 04 18:47:08.515 2017] ,MEASURE,NA,NA,8700.00,2,23
[Wed Jan 04 18:47:08.547 2017] ,RECORD,NA,NA,8700.00,2,23
[Wed Jan 04 18:47:08.578 2017] ,PEAK_SUMMATION_INC,NA,NA,freq = 8700.00,running_sum = 16 (12bit),running_sum = 16 (mV), temp = 23
[Wed Jan 04 18:47:08.984 2017] ,DISCHARGE,NA,NA,8700.00,2,23
[Wed Jan 04 18:47:11.875 2017] ,CHARGING,NA,NA,8800.00,2,23
[Wed Jan 04 18:47:12.031 2017] ,CHARGING,NA,NA,8800.00,2,23
[Wed Jan 04 18:47:12.250 2017] ,MEASURE,NA,NA,8800.00,2,23
[Wed Jan 04 18:47:12.484 2017] ,MEASURE,NA,NA,8800.00,2,23
[Wed Jan 04 18:47:12.734 2017] ,MEASURE,NA,NA,8800.00,2,23
[Wed Jan 04 18:47:12.969 2017] ,MEASURE,NA,NA,8800.00,2,23
[Wed Jan 04 18:47:13.188 2017] ,MEASURE,NA,NA,8800.00,2,23
[Wed Jan 04 18:47:13.234 2017] ,RECORD,NA,NA,8800.00,2,23
[Wed Jan 04 18:47:13.266 2017] ,PEAK_SUMMATION_INC,NA,NA,freq = 8800.00,running_sum = 18 (12bit),running_sum = 18 (mV), temp = 23
[Wed Jan 04 18:47:13.672 2017] ,DISCHARGE,NA,NA,8800.00,2,23
[Wed Jan 04 18:47:16.563 2017] ,CHARGING,NA,NA,8900.00,2,23
[Wed Jan 04 18:47:16.703 2017] ,CHARGING,NA,NA,8900.00,2,23
[Wed Jan 04 18:47:16.938 2017] ,MEASURE,NA,NA,8900.00,2,23
[Wed Jan 04 18:47:17.172 2017] ,MEASURE,NA,NA,8900.00,2,23
[Wed Jan 04 18:47:17.406 2017] ,MEASURE,NA,NA,8900.00,2,23
[Wed Jan 04 18:47:17.656 2017] ,MEASURE,NA,NA,8900.00,2,23
[Wed Jan 04 18:47:17.875 2017] ,MEASURE,NA,NA,8900.00,2,23
[Wed Jan 04 18:47:17.906 2017] ,RECORD,NA,NA,8900.00,2,23
[Wed Jan 04 18:47:17.938 2017] ,PEAK_SUMMATION_INC,NA,NA,freq = 8900.00,running_sum = 20 (12bit),running_sum = 20 (mV), temp = 23
[Wed Jan 04 18:47:18.360 2017] ,DISCHARGE,NA,NA,8900.00,2,23
[Wed Jan 04 18:47:21.250 2017] ,CHARGING,NA,NA,9000.00,2,23
[Wed Jan 04 18:47:21.375 2017] ,CHARGING,NA,NA,9000.00,2,23
[Wed Jan 04 18:47:21.610 2017] ,MEASURE,NA,NA,9000.00,2,23
[Wed Jan 04 18:47:21.860 2017] ,MEASURE,NA,NA,9000.00,2,23
[Wed Jan 04 18:47:22.094 2017] ,MEASURE,NA,NA,9000.00,2,23
[Wed Jan 04 18:47:22.329 2017] ,MEASURE,NA,NA,9000.00,2,23
[Wed Jan 04 18:47:22.563 2017] ,MEASURE,NA,NA,9000.00,2,23
[Wed Jan 04 18:47:22.594 2017] ,RECORD,NA,NA,9000.00,2,23
[Wed Jan 04 18:47:22.625 2017] ,PEAK_SUMMATION_INC,NA,NA,freq = 9000.00,running_sum = 22 (12bit),running_sum = 21 (mV), temp = 23
[Wed Jan 04 18:47:23.032 2017] ,DISCHARGE,NA,NA,9000.00,2,23
[Wed Jan 04 18:47:25.938 2017] ,CHARGING,NA,NA,9100.00,2,23
[Wed Jan 04 18:47:26.063 2017] ,CHARGING,NA,NA,9100.00,2,23
[Wed Jan 04 18:47:26.298 2017] ,MEASURE,NA,NA,9100.00,2,23
[Wed Jan 04 18:47:26.532 2017] ,MEASURE,NA,NA,9100.00,2,23
[Wed Jan 04 18:47:26.782 2017] ,MEASURE,NA,NA,9100.00,2,23
[Wed Jan 04 18:47:27.001 2017] ,MEASURE,NA,NA,9100.00,2,23
[Wed Jan 04 18:47:27.235 2017] ,MEASURE,NA,NA,9100.00,2,23
[Wed Jan 04 18:47:27.282 2017] ,RECORD,NA,NA,9100.00,2,23
