
[Wed Jan 04 18:46:28.763 2017] Begin Peak Summation Update test @ 8000 KHz
[Wed Jan 04 18:46:30.935 2017] ,START,EOL
[Wed Jan 04 18:46:30.951 2017] ,COMMENT,Peak Summation
[Wed Jan 04 18:46:30.967 2017] ,COMMENT,TX BIAS DELAY HAS BEEN REMOVED
[Wed Jan 04 18:46:31.014 2017] ,INFO,BOARD_ID,NA,SOIL_TYPE,NA,START_FREQ,8000,STOP_FREQ,12000,FREQ_INC,100,DELAY_TIME,100,NUM_SEQ_MEASURES,10,FIRMWARE_VERSION,0.1.8,TX_COIL,1,RX_COIL,1
[Wed Jan 04 18:46:31.170 2017] ,ACTION,SOIL TYPE,WATER CONTENT (%),tx_freq_actual (KHz),ADC Value (mV),TEMPERATURE (degC)
[Wed Jan 04 18:48:31.535 2017] ,CHARGING,NA,NA,10500.00,2,23
[Wed Jan 04 18:48:31.660 2017] ,CHARGING,NA,NA,10500.00,2,23
[Wed Jan 04 18:48:31.910 2017] ,MEASURE,NA,NA,10500.00,2,23
[Wed Jan 04 18:48:32.144 2017] ,MEASURE,NA,NA,10500.00,2,23
[Wed Jan 04 18:48:32.394 2017] ,MEASURE,NA,NA,10500.00,2,23
[Wed Jan 04 18:48:32.629 2017] ,MEASURE,NA,NA,10500.00,2,23
[Wed Jan 04 18:48:32.863 2017] ,MEASURE,NA,NA,10500.00,2,23
[Wed Jan 04 18:48:32.895 2017] ,RECORD,NA,NA,10500.00,2,23
[Wed Jan 04 18:48:32.910 2017] ,PEAK_SUMMATION_INC,NA,NA,freq = 10500.00,running_sum = 57 (12bit),running_sum = 56 (mV), temp = 23
[Wed Jan 04 18:48:33.348 2017] ,DISCHARGE,NA,NA,10500.00,2,23
[Wed Jan 04 18:48:36.238 2017] ,CHARGING,NA,NA,10600.00,2,23
[Wed Jan 04 18:48:36.363 2017] ,CHARGING,NA,NA,10600.00,2,23
[Wed Jan 04 18:48:36.613 2017] ,MEASURE,NA,NA,10600.00,2,23
[Wed Jan 04 18:48:36.848 2017] ,MEASURE,NA,NA,10600.00,2,23
[Wed Jan 04 18:48:37.082 2017] ,MEASURE,NA,NA,10600.00,2,23
[Wed Jan 04 18:48:37.317 2017] ,MEASURE,NA,NA,10600.00,2,23
[Wed Jan 04 18:48:37.551 2017] ,MEASURE,NA,NA,10600.00,2,23
[Wed Jan 04 18:48:37.582 2017] ,RECORD,NA,NA,10600.00,2,23
[Wed Jan 04 18:48:37.613 2017] ,PEAK_SUMMATION_INC,NA,NA,freq = 10600.00,running_sum = 59 (12bit),running_sum = 58 (mV), temp = 23
[Wed Jan 04 18:48:38.035 2017] ,DISCHARGE,NA,NA,10600.00,2,23
[Wed Jan 04 18:48:40.926 2017] ,CHARGING,NA,NA,10700.00,2,23
[Wed Jan 04 18:48:41.067 2017] ,CHARGING,NA,NA,10700.00,2,23
[Wed Jan 04 18:48:41.301 2017] ,MEASURE,NA,NA,10700.00,2,23
[Wed Jan 04 18:48:41.535 2017] ,MEASURE,NA,NA,10700.00,2,23
[Wed Jan 04 18:48:41.770 2017] ,MEASURE,NA,NA,10700.00,2,23
[Wed Jan 04 18:48:42.004 2017] ,MEASURE,NA,NA,10700.00,2,23
[Wed Jan 04 18:48:42.254 2017] ,MEASURE,NA,NA,10700.00,2,23
[Wed Jan 04 18:48:42.286 2017] ,RECORD,NA,NA,10700.00,2,23
[Wed Jan 04 18:48:42.317 2017] ,PEAK_SUMMATION_INC,NA,NA,freq = 10700.00,running_sum = 61 (12bit),running_sum = 60 (mV), temp = 23
[Wed Jan 04 18:48:42.723 2017] ,DISCHARGE,NA,NA,10700.00,2,23
[Wed Jan 04 18:48:45.614 2017] ,CHARGING,NA,NA,10800.00,2,23
[Wed Jan 04 18:48:45.755 2017] ,CHARGING,NA,NA,10800.00,2,23
[Wed Jan 04 18:48:45.989 2017] ,MEASURE,NA,NA,10800.00,2,23
[Wed Jan 04 18:48:46.223 2017] ,MEASURE,NA,NA,10800.00,2,23
[Wed Jan 04 18:48:46.473 2017] ,MEASURE,NA,NA,10800.00,2,23
[Wed Jan 04 18:48:46.708 2017] ,MEASURE,NA,NA,10800.00,2,23
[Wed Jan 04 18:48:46.926 2017] ,MEASURE,NA,NA,10800.00,2,23
[Wed Jan 04 18:48:46.973 2017] ,RECORD,NA,NA,10800.00,2,23
[Wed Jan 04 18:48:47.005 2017] ,PEAK_SUMMATION_INC,NA,NA,freq = 10800.00,running_sum = 63 (12bit),running_sum = 62 (mV), temp = 23
[Wed Jan 04 18:48:47.426 2017] ,DISCHARGE,NA,NA,10800.00,2,23
[Wed Jan 04 18:48:50.302 2017] ,CHARGING,NA,NA,10900.00,2,23
[Wed Jan 04 18:48:50.442 2017] ,CHARGING,NA,NA,10900.00,2,23
[Wed Jan 04 18:48:50.692 2017] ,MEASURE,NA,NA,10900.00,2,23
[Wed Jan 04 18:48:50.927 2017] ,MEASURE,NA,NA,10900.00,2,23
[Wed Jan 04 18:48:51.145 2017] ,MEASURE,NA,NA,10900.00,2,23
[Wed Jan 04 18:48:51.395 2017] ,MEASURE,NA,NA,10900.00,2,23
[Wed Jan 04 18:48:51.630 2017] ,MEASURE,NA,NA,10900.00,2,23
[Wed Jan 04 18:48:51.677 2017] ,RECORD,NA,NA,10900.00,2,23
[Wed Jan 04 18:48:51.692 2017] ,PEAK_SUMMATION_INC,NA,NA,freq = 10900.00,running_sum = 65 (12bit),running_sum = 63 (mV), temp = 23
[Wed Jan 04 18:48:52.114 2017] ,DISCHARGE,NA,NA,10900.00,2,23
[Wed Jan 04 18:48:55.005 2017] ,CHARGING,NA,NA,11000.00,3,23
[Wed Jan 04 18:48:55.146 2017] ,CHARGING,NA,NA,11000.00,3,23
[Wed Jan 04 18:48:55.364 2017] ,MEASURE,NA,NA,11000.00,2,23
[Wed Jan 04 18:48:55.614 2017] ,MEASURE,NA,NA,11000.00,2,23
[Wed Jan 04 18:48:55.849 2017] ,MEASURE,NA,NA,11000.00,2,23
[Wed Jan 04 18:48:56.083 2017] ,MEASURE,NA,NA,11000.00,2,23
[Wed Jan 04 18:48:56.333 2017] ,MEASURE,NA,NA,11000.00,2,23
[Wed Jan 04 18:48:56.364 2017] ,RECORD,NA,NA,11000.00,2,23
[Wed Jan 04 18:48:56.396 2017] ,PEAK_SUMMATION_INC,NA,NA,freq = 11000.00,running_sum = 67 (12bit),running_sum = 65 (mV), temp = 23
[Wed Jan 04 18:48:56.802 2017] ,DISCHARGE,NA,NA,11000.00,2,23
[Wed Jan 04 18:48:59.708 2017] ,CHARGING,NA,NA,11100.00,2,23
[Wed Jan 04 18:48:59.833 2017] ,CHARGING,NA,NA,11100.00,2,23
[Wed Jan 04 18:49:00.068 2017] ,MEASURE,NA,NA,11100.00,2,23
[Wed Jan 04 18:49:00.302 2017] ,MEASURE,NA,NA,11100.00,2,23
[Wed Jan 04 18:49:00.552 2017] ,MEASURE,NA,NA,11100.00,2,23
[Wed Jan 04 18:49:00.787 2017] ,MEASURE,NA,NA,11100.00,2,23
[Wed Jan 04 18:49:01.005 2017] ,MEASURE,NA,NA,11100.00,2,23
[Wed Jan 04 18:49:01.052 2017] ,RECORD,NA,NA,11100.00,2,23
[Wed Jan 04 18:49:01.083 2017] ,PEAK_SUMMATION_INC,NA,NA,freq = 11100.00,running_sum = 69 (12bit),running_sum = 67 (mV), temp = 23
[Wed Jan 04 18:49:01.505 2017] ,DISCHARGE,NA,NA,11100.00,2,23
[Wed Jan 04 18:49:04.380 2017] ,CHARGING,NA,NA,11200.00,3,23
[Wed Jan 04 18:49:04.521 2017] ,CHARGING,NA,NA,11200.00,3,23
[Wed Jan 04 18:49:04.771 2017] ,MEASURE,NA,NA,11200.00,2,23
[Wed Jan 04 18:49:05.005 2017] ,MEASURE,NA,NA,11200.00,2,23
[Wed Jan 04 18:49:05.224 2017] ,MEASURE,NA,NA,11200.00,2,23
[Wed Jan 04 18:49:05.474 2017] ,MEASURE,NA,NA,11200.00,2,23
[Wed Jan 04 18:49:05.709 2017] ,MEASURE,NA,NA,11200.00,3,23
[Wed Jan 04 18:49:05.740 2017] ,RECORD,NA,NA,11200.00,3,23
[Wed Jan 04 18:49:05.771 2017] ,PEAK_SUMMATION_INC,NA,NA,freq = 11200.00,running_sum = 72 (12bit),running_sum = 70 (mV), temp = 23
[Wed Jan 04 18:49:06.193 2017] ,DISCHARGE,NA,NA,11200.00,2,23
[Wed Jan 04 18:49:09.084 2017] ,CHARGING,NA,NA,11300.00,3,23
[Wed Jan 04 18:49:09.224 2017] ,CHARGING,NA,NA,11300.00,3,23
[Wed Jan 04 18:49:09.443 2017] ,MEASURE,NA,NA,11300.00,3,23
[Wed Jan 04 18:49:09.693 2017] ,MEASURE,NA,NA,11300.00,3,23
[Wed Jan 04 18:49:09.928 2017] ,MEASURE,NA,NA,11300.00,3,23
[Wed Jan 04 18:49:10.178 2017] ,MEASURE,NA,NA,11300.00,3,23
[Wed Jan 04 18:49:10.412 2017] ,MEASURE,NA,NA,11300.00,3,23
[Wed Jan 04 18:49:10.443 2017] ,RECORD,NA,NA,11300.00,3,23
[Wed Jan 04 18:49:10.474 2017] ,PEAK_SUMMATION_INC,NA,NA,freq = 11300.00,running_sum = 75 (12bit),running_sum = 73 (mV), temp = 23
[Wed Jan 04 18:49:10.896 2017] ,DISCHARGE,NA,NA,11300.00,2,23
[Wed Jan 04 18:49:13.787 2017] ,CHARGING,NA,NA,11400.00,4,23
[Wed Jan 04 18:49:13.912 2017] ,CHARGING,NA,NA,11400.00,4,23
[Wed Jan 04 18:49:14.147 2017] ,MEASURE,NA,NA,11400.00,4,23
[Wed Jan 04 18:49:14.396 2017] ,MEASURE,NA,NA,11400.00,4,23
[Wed Jan 04 18:49:14.631 2017] ,MEASURE,NA,NA,11400.00,4,23
[Wed Jan 04 18:49:14.865 2017] ,MEASURE,NA,NA,11400.00,4,23
[Wed Jan 04 18:49:15.100 2017] ,MEASURE,NA,NA,11400.00,4,23
[Wed Jan 04 18:49:15.131 2017] ,RECORD,NA,NA,11400.00,4,23
[Wed Jan 04 18:49:15.162 2017] ,PEAK_SUMMATION_INC,NA,NA,freq = 11400.00,running_sum = 79 (12bit),running_sum = 77 (mV), temp = 23
[Wed Jan 04 18:49:15.584 2017] ,DISCHARGE,NA,NA,11400.00,3,23
[Wed Jan 04 18:49:18.459 2017] ,CHARGING,NA,NA,11500.00,6,23
[Wed Jan 04 18:49:18.615 2017] ,CHARGING,NA,NA,11500.00,6,23
[Wed Jan 04 18:49:18.850 2017] ,MEASURE,NA,NA,11500.00,6,23
[Wed Jan 04 18:49:19.084 2017] ,MEASURE,NA,NA,11500.00,6,23
[Wed Jan 04 18:49:19.319 2017] ,MEASURE,NA,NA,11500.00,6,23
[Wed Jan 04 18:49:19.553 2017] ,MEASURE,NA,NA,11500.00,6,23
[Wed Jan 04 18:49:19.787 2017] ,MEASURE,NA,NA,11500.00,6,23
[Wed Jan 04 18:49:19.819 2017] ,RECORD,NA,NA,11500.00,6,23
[Wed Jan 04 18:49:19.866 2017] ,PEAK_SUMMATION_INC,NA,NA,freq = 11500.00,running_sum = 85 (12bit),running_sum = 83 (mV), temp = 23
[Wed Jan 04 18:49:20.272 2017] ,DISCHARGE,NA,NA,11500.00,5,23
[Wed Jan 04 18:49:23.163 2017] ,CHARGING,NA,NA,11600.00,15,23
[Wed Jan 04 18:49:23.303 2017] ,CHARGING,NA,NA,11600.00,14,23
[Wed Jan 04 18:49:23.553 2017] ,MEASURE,NA,NA,11600.00,14,23
[Wed Jan 04 18:49:23.772 2017] ,MEASURE,NA,NA,11600.00,14,23
[Wed Jan 04 18:49:24.006 2017] ,MEASURE,NA,NA,11600.00,15,23
[Wed Jan 04 18:49:24.256 2017] ,MEASURE,NA,NA,11600.00,16,23
[Wed Jan 04 18:49:24.491 2017] ,MEASURE,NA,NA,11600.00,16,23
[Wed Jan 04 18:49:24.522 2017] ,RECORD,NA,NA,11600.00,16,23
[Wed Jan 04 18:49:24.553 2017] ,PEAK_SUMMATION_INC,NA,NA,freq = 11600.00,running_sum = 101 (12bit),running_sum = 99 (mV), temp = 23
[Wed Jan 04 18:49:24.991 2017] ,DISCHARGE,NA,NA,11600.00,12,23
[Wed Jan 04 18:49:27.866 2017] ,CHARGING,NA,NA,11700.00,23,23
[Wed Jan 04 18:49:28.007 2017] ,CHARGING,NA,NA,11700.00,23,23
[Wed Jan 04 18:49:28.241 2017] ,MEASURE,NA,NA,11700.00,23,23
[Wed Jan 04 18:49:28.491 2017] ,MEASURE,NA,NA,11700.00,21,23
[Wed Jan 04 18:49:28.725 2017] ,MEASURE,NA,NA,11700.00,24,23
[Wed Jan 04 18:49:28.960 2017] ,MEASURE,NA,NA,11700.00,23,23
[Wed Jan 04 18:49:29.194 2017] ,MEASURE,NA,NA,11700.00,23,23
[Wed Jan 04 18:49:29.225 2017] ,RECORD,NA,NA,11700.00,23,23
[Wed Jan 04 18:49:29.257 2017] ,PEAK_SUMMATION_INC,NA,NA,freq = 11700.00,running_sum = 125 (12bit),running_sum = 122 (mV), temp = 23
[Wed Jan 04 18:49:29.679 2017] ,DISCHARGE,NA,NA,11700.00,20,23
[Wed Jan 04 18:49:32.585 2017] ,CHARGING,NA,NA,11800.00,10,23
[Wed Jan 04 18:49:32.710 2017] ,CHARGING,NA,NA,11800.00,10,23
[Wed Jan 04 18:49:32.944 2017] ,MEASURE,NA,NA,11800.00,10,23
[Wed Jan 04 18:49:33.179 2017] ,MEASURE,NA,NA,11800.00,10,23
[Wed Jan 04 18:49:33.429 2017] ,MEASURE,NA,NA,11800.00,10,23
[Wed Jan 04 18:49:33.663 2017] ,MEASURE,NA,NA,11800.00,9,23
[Wed Jan 04 18:49:33.897 2017] ,MEASURE,NA,NA,11800.00,10,23
[Wed Jan 04 18:49:33.944 2017] ,NEGATIVE_TRANSITION,NA,NA,freq = 11800.00,measure  = 10 (12bit) = 10 (mV),temp = 23
[Wed Jan 04 18:49:34.335 2017] ,DISCHARGE,NA,NA,11800.00,8,23
[Wed Jan 04 18:49:34.366 2017] ,90% Point at 120 (12bit) 117 (mV)
[Wed Jan 04 18:49:34.413 2017] Peak_Summation_start(): ERROR: 3dB not found,PEAK_SUMMATION,NA,NA,Actual_Freq = 11800.00,Peak_Summation = 10d (12bit-hex), Peak_Summation = 263 (mV), Temp = 23 (deg C)
[Wed Jan 04 18:49:34.601 2017] ,PEAK_INDEX = 39,PEAK_FREQ = 11900,PEAK_MEASURE = 131 (mV), PEAK_MEASURE = 16 (8bit)
[Wed Jan 04 18:49:34.679 2017] ******** TEST_MEASURE = 977 (mV), TEST_MEASURE = 1953 (mV)
[Wed Jan 04 18:49:34.741 2017] ,END,EOL
[Wed Jan 04 18:49:34.757 2017] Peak_Summation_Update_display(): byte 0 = 13
[Wed Jan 04 18:49:34.804 2017] Peak_Summation_Update_display(): byte 1 = 15
[Wed Jan 04 18:49:34.851 2017] Peak_Summation_Update_display(): byte 2 = 16
[Wed Jan 04 18:49:34.898 2017] Peak_Summation_Update_display(): byte 3 = 39
[Wed Jan 04 18:49:34.944 2017] Peak_Summation_Update_display(): byte 4 = 1
[Wed Jan 04 18:49:34.992 2017] Peak_Summation_Update_display(): byte 5 = 13
[Wed Jan 04 18:49:35.038 2017] Peak_Summation_Update_display(): byte 6 = 255
[Wed Jan 04 18:49:35.085 2017] Peak_Summation_Update_display(): byte 7 = 0
[Wed Jan 04 18:49:35.132 2017] Peak_Summation_Update_display(): byte 8 = 186
[Wed Jan 04 18:49:35.179 2017] Peak_Summation_Update_display(): byte 9 = 0
[Wed Jan 04 18:49:35.226 2017] Peak_Summation_Update_display(): byte 10 = 128
[Wed Jan 04 18:49:35.288 2017] Begin Peak Summation Update test @ 17000 KHz
[Wed Jan 04 18:49:37.445 2017] ,START,EOL
[Wed Jan 04 18:49:37.476 2017] ,COMMENT,Peak Summation
[Wed Jan 04 18:49:37.491 2017] ,COMMENT,TX BIAS DELAY HAS BEEN REMOVED
[Wed Jan 04 18:49:37.538 2017] ,INFO,BOARD_ID,NA,SOIL_TYPE,NA,START_FREQ,17000,STOP_FREQ,21000,FREQ_INC,100,DELAY_TIME,100,NUM_SEQ_MEASURES,10,FIRMWARE_VERSION,0.1.8,TX_COIL,1,RX_COIL,1
[Wed Jan 04 18:49:37.695 2017] ,ACTION,SOIL TYPE,WATER CONTENT (%),tx_freq_actual (KHz),ADC Value (mV),TEMPERATURE (degC)
[Wed Jan 04 18:49:40.945 2017] ,CHARGING,NA,NA,17000.00,2,23
[Wed Jan 04 18:49:41.101 2017] ,CHARGING,NA,NA,17000.00,2,23
[Wed Jan 04 18:49:41.335 2017] ,MEASURE,NA,NA,17000.00,2,23
[Wed Jan 04 18:49:41.554 2017] ,MEASURE,NA,NA,17000.00,2,23
[Wed Jan 04 18:49:41.804 2017] ,MEASURE,NA,NA,17000.00,2,23
[Wed Jan 04 18:49:42.039 2017] ,MEASURE,NA,NA,17000.00,2,23
[Wed Jan 04 18:49:42.273 2017] ,MEASURE,NA,NA,17000.00,2,23
[Wed Jan 04 18:49:42.320 2017] ,RECORD,NA,NA,17000.00,2,23
[Wed Jan 04 18:49:42.351 2017] ,PEAK_SUMMATION_INC,NA,NA,freq = 17000.00,running_sum = 2 (12bit),running_sum = 2 (mV), temp = 23
[Wed Jan 04 18:49:42.757 2017] ,DISCHARGE,NA,NA,17000.00,2,23
[Wed Jan 04 18:49:45.648 2017] ,CHARGING,NA,NA,17100.00,2,23
[Wed Jan 04 18:49:45.773 2017] ,CHARGING,NA,NA,17100.00,2,23
[Wed Jan 04 18:49:46.023 2017] ,MEASURE,NA,NA,17100.00,2,23
[Wed Jan 04 18:49:46.257 2017] ,MEASURE,NA,NA,17100.00,2,23
[Wed Jan 04 18:49:46.492 2017] ,MEASURE,NA,NA,17100.00,2,23
[Wed Jan 04 18:49:46.742 2017] ,MEASURE,NA,NA,17100.00,2,23
[Wed Jan 04 18:49:46.961 2017] ,MEASURE,NA,NA,17100.00,2,23
[Wed Jan 04 18:49:46.992 2017] ,RECORD,NA,NA,17100.00,2,23
[Wed Jan 04 18:49:47.023 2017] ,PEAK_SUMMATION_INC,NA,NA,freq = 17100.00,running_sum = 4 (12bit),running_sum = 4 (mV), temp = 23
[Wed Jan 04 18:49:47.445 2017] ,DISCHARGE,NA,NA,17100.00,2,23
[Wed Jan 04 18:49:50.336 2017] ,CHARGING,NA,NA,17200.00,3,23
[Wed Jan 04 18:49:50.476 2017] ,CHARGING,NA,NA,17200.00,2,23
[Wed Jan 04 18:49:50.711 2017] ,MEASURE,NA,NA,17200.00,2,23
[Wed Jan 04 18:49:50.945 2017] ,MEASURE,NA,NA,17200.00,2,23
[Wed Jan 04 18:49:51.180 2017] ,MEASURE,NA,NA,17200.00,2,23
[Wed Jan 04 18:49:51.414 2017] ,MEASURE,NA,NA,17200.00,2,23
[Wed Jan 04 18:49:51.664 2017] ,MEASURE,NA,NA,17200.00,2,23
[Wed Jan 04 18:49:51.695 2017] ,RECORD,NA,NA,17200.00,2,23
[Wed Jan 04 18:49:51.726 2017] ,PEAK_SUMMATION_INC,NA,NA,freq = 17200.00,running_sum = 6 (12bit),running_sum = 6 (mV), temp = 23
[Wed Jan 04 18:49:52.133 2017] ,DISCHARGE,NA,NA,17200.00,2,23
[Wed Jan 04 18:49:55.039 2017] ,CHARGING,NA,NA,17300.00,3,23
[Wed Jan 04 18:49:55.164 2017] ,CHARGING,NA,NA,17300.00,2,23
[Wed Jan 04 18:49:55.399 2017] ,MEASURE,NA,NA,17300.00,2,23
[Wed Jan 04 18:49:55.633 2017] ,MEASURE,NA,NA,17300.00,2,23
[Wed Jan 04 18:49:55.883 2017] ,MEASURE,NA,NA,17300.00,2,23
[Wed Jan 04 18:49:56.117 2017] ,MEASURE,NA,NA,17300.00,2,23
[Wed Jan 04 18:49:56.336 2017] ,MEASURE,NA,NA,17300.00,2,23
[Wed Jan 04 18:49:56.383 2017] ,RECORD,NA,NA,17300.00,2,23
[Wed Jan 04 18:49:56.414 2017] ,PEAK_SUMMATION_INC,NA,NA,freq = 17300.00,running_sum = 8 (12bit),running_sum = 8 (mV), temp = 23
[Wed Jan 04 18:49:56.836 2017] ,DISCHARGE,NA,NA,17300.00,2,23
[Wed Jan 04 18:49:59.711 2017] ,CHARGING,NA,NA,17400.00,3,23
[Wed Jan 04 18:49:59.852 2017] ,CHARGING,NA,NA,17400.00,3,23
[Wed Jan 04 18:50:00.102 2017] ,MEASURE,NA,NA,17400.00,3,23
[Wed Jan 04 18:50:00.321 2017] ,MEASURE,NA,NA,17400.00,2,23
[Wed Jan 04 18:50:00.555 2017] ,MEASURE,NA,NA,17400.00,3,23
[Wed Jan 04 18:50:00.805 2017] ,MEASURE,NA,NA,17400.00,3,23
[Wed Jan 04 18:50:01.039 2017] ,MEASURE,NA,NA,17400.00,3,23
[Wed Jan 04 18:50:01.071 2017] ,RECORD,NA,NA,17400.00,3,23
[Wed Jan 04 18:50:01.102 2017] ,PEAK_SUMMATION_INC,NA,NA,freq = 17400.00,running_sum = 11 (12bit),running_sum = 11 (mV), temp = 23
[Wed Jan 04 18:50:01.524 2017] ,DISCHARGE,NA,NA,17400.00,2,23
[Wed Jan 04 18:50:04.415 2017] ,CHARGING,NA,NA,17500.00,4,23
[Wed Jan 04 18:50:04.540 2017] ,CHARGING,NA,NA,17500.00,3,23
[Wed Jan 04 18:50:04.790 2017] ,MEASURE,NA,NA,17500.00,3,23
[Wed Jan 04 18:50:05.024 2017] ,MEASURE,NA,NA,17500.00,3,23
[Wed Jan 04 18:50:05.258 2017] ,MEASURE,NA,NA,17500.00,3,23
[Wed Jan 04 18:50:05.508 2017] ,MEASURE,NA,NA,17500.00,3,23
[Wed Jan 04 18:50:05.743 2017] ,MEASURE,NA,NA,17500.00,4,23
[Wed Jan 04 18:50:05.774 2017] ,RECORD,NA,NA,17500.00,4,23
[Wed Jan 04 18:50:05.790 2017] ,PEAK_SUMMATION_INC,NA,NA,freq = 17500.00,running_sum = 15 (12bit),running_sum = 15 (mV), temp = 23
[Wed Jan 04 18:50:06.227 2017] ,DISCHARGE,NA,NA,17500.00,3,23
[Wed Jan 04 18:50:09.118 2017] ,CHARGING,NA,NA,17600.00,4,23
[Wed Jan 04 18:50:09.243 2017] ,CHARGING,NA,NA,17600.00,3,23
[Wed Jan 04 18:50:09.477 2017] ,MEASURE,NA,NA,17600.00,3,23
[Wed Jan 04 18:50:09.727 2017] ,MEASURE,NA,NA,17600.00,3,23
[Wed Jan 04 18:50:09.962 2017] ,MEASURE,NA,NA,17600.00,3,23
[Wed Jan 04 18:50:10.181 2017] ,MEASURE,NA,NA,17600.00,3,23
[Wed Jan 04 18:50:10.430 2017] ,MEASURE,NA,NA,17600.00,4,23
[Wed Jan 04 18:50:10.462 2017] ,RECORD,NA,NA,17600.00,4,23
[Wed Jan 04 18:50:10.493 2017] ,PEAK_SUMMATION_INC,NA,NA,freq = 17600.00,running_sum = 19 (12bit),running_sum = 19 (mV), temp = 23
[Wed Jan 04 18:50:10.915 2017] ,DISCHARGE,NA,NA,17600.00,3,23
[Wed Jan 04 18:50:13.790 2017] ,CHARGING,NA,NA,17700.00,3,23
[Wed Jan 04 18:50:13.946 2017] ,CHARGING,NA,NA,17700.00,3,23
[Wed Jan 04 18:50:14.181 2017] ,MEASURE,NA,NA,17700.00,2,23
[Wed Jan 04 18:50:14.399 2017] ,MEASURE,NA,NA,17700.00,3,23
[Wed Jan 04 18:50:14.649 2017] ,MEASURE,NA,NA,17700.00,3,23
[Wed Jan 04 18:50:14.884 2017] ,MEASURE,NA,NA,17700.00,3,23
[Wed Jan 04 18:50:15.118 2017] ,MEASURE,NA,NA,17700.00,3,23
[Wed Jan 04 18:50:15.165 2017] ,RECORD,NA,NA,17700.00,3,23
[Wed Jan 04 18:50:15.196 2017] ,PEAK_SUMMATION_INC,NA,NA,freq = 17700.00,running_sum = 22 (12bit),running_sum = 21 (mV), temp = 23
[Wed Jan 04 18:50:15.603 2017] ,DISCHARGE,NA,NA,17700.00,2,23
[Wed Jan 04 18:50:18.493 2017] ,CHARGING,NA,NA,17800.00,3,23
[Wed Jan 04 18:50:18.618 2017] ,CHARGING,NA,NA,17800.00,2,23
[Wed Jan 04 18:50:18.868 2017] ,MEASURE,NA,NA,17800.00,2,23
[Wed Jan 04 18:50:19.103 2017] ,MEASURE,NA,NA,17800.00,3,23
[Wed Jan 04 18:50:19.337 2017] ,MEASURE,NA,NA,17800.00,2,23
[Wed Jan 04 18:50:19.587 2017] ,MEASURE,NA,NA,17800.00,3,23
[Wed Jan 04 18:50:19.822 2017] ,MEASURE,NA,NA,17800.00,3,23
[Wed Jan 04 18:50:19.853 2017] ,RECORD,NA,NA,17800.00,3,23
[Wed Jan 04 18:50:19.868 2017] ,PEAK_SUMMATION_INC,NA,NA,freq = 17800.00,running_sum = 25 (12bit),running_sum = 24 (mV), temp = 23
[Wed Jan 04 18:50:20.306 2017] ,DISCHARGE,NA,NA,17800.00,2,23
[Wed Jan 04 18:50:23.197 2017] ,CHARGING,NA,NA,17900.00,3,23
[Wed Jan 04 18:50:23.322 2017] ,CHARGING,NA,NA,17900.00,3,23
[Wed Jan 04 18:50:23.556 2017] ,MEASURE,NA,NA,17900.00,2,23
[Wed Jan 04 18:50:23.806 2017] ,MEASURE,NA,NA,17900.00,2,23
[Wed Jan 04 18:50:24.041 2017] ,MEASURE,NA,NA,17900.00,2,23
[Wed Jan 04 18:50:24.259 2017] ,MEASURE,NA,NA,17900.00,2,23
[Wed Jan 04 18:50:24.509 2017] ,MEASURE,NA,NA,17900.00,2,23
[Wed Jan 04 18:50:24.541 2017] ,RECORD,NA,NA,17900.00,2,23
[Wed Jan 04 18:50:24.572 2017] ,PEAK_SUMMATION_INC,NA,NA,freq = 17900.00,running_sum = 27 (12bit),running_sum = 26 (mV), temp = 23
[Wed Jan 04 18:50:24.994 2017] ,DISCHARGE,NA,NA,17900.00,2,23
[Wed Jan 04 18:50:27.869 2017] ,CHARGING,NA,NA,18000.00,3,23
[Wed Jan 04 18:50:28.025 2017] ,CHARGING,NA,NA,18000.00,3,23
[Wed Jan 04 18:50:28.260 2017] ,MEASURE,NA,NA,18000.00,2,23
[Wed Jan 04 18:50:28.478 2017] ,MEASURE,NA,NA,18000.00,2,23
[Wed Jan 04 18:50:28.728 2017] ,MEASURE,NA,NA,18000.00,2,23
[Wed Jan 04 18:50:28.963 2017] ,MEASURE,NA,NA,18000.00,2,23
[Wed Jan 04 18:50:29.197 2017] ,MEASURE,NA,NA,18000.00,2,23
[Wed Jan 04 18:50:29.244 2017] ,RECORD,NA,NA,18000.00,2,23
[Wed Jan 04 18:50:29.275 2017] ,PEAK_SUMMATION_INC,NA,NA,freq = 18000.00,running_sum = 29 (12bit),running_sum = 28 (mV), temp = 23
[Wed Jan 04 18:50:29.681 2017] ,DISCHARGE,NA,NA,18000.00,2,23
[Wed Jan 04 18:50:32.572 2017] ,CHARGING,NA,NA,18100.00,3,23
[Wed Jan 04 18:50:32.697 2017] ,CHARGING,NA,NA,18100.00,2,23
[Wed Jan 04 18:50:32.947 2017] ,MEASURE,NA,NA,18100.00,2,23
[Wed Jan 04 18:50:33.182 2017] ,MEASURE,NA,NA,18100.00,2,23
[Wed Jan 04 18:50:33.416 2017] ,MEASURE,NA,NA,18100.00,2,23
[Wed Jan 04 18:50:33.666 2017] ,MEASURE,NA,NA,18100.00,2,23
[Wed Jan 04 18:50:33.900 2017] ,MEASURE,NA,NA,18100.00,2,23
[Wed Jan 04 18:50:33.916 2017] ,RECORD,NA,NA,18100.00,2,23
